"teststep","rating","desc","com.activ8rlives.mobile","com.fitbit.FitbitMobile","com.hapiconnect","com.medm.medmwt.diary","com.stabxtom.thomson","com.withings.wiscale2","com.medm.ichoice.diary"
"av3_reg_pwd_policy","no policy: 2 / min characters: 1 / mixed charsets: 0","is a password policy enforced","2","n/a","1","1","1","2","1"
"av3_data_coll","informational","data collected and send by the mobile app","","","","","","",""
"av3_export_sdcard","unsecure feature: 1 / secure feature: 0","can data be exported to SD card or other locations on device and is that data encrypted","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"av3_export_cloud","unsecure feature: 1 / secure feature: 0","data being exported somewhere into the cloud (dropbox et al)","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"av3_reg_data_input","informational","Specifies the data fields and types which are required as inputs","","n/a","","","","",""
"av3_data_wipe","unsecure feature: 1 / secure feature: 0","can data be wiped from the mobile application","1","1","1","1","1","1","1"
"av3_code_comment","informational","any comment on the code","","tbd","","","","",""
"av3_pwd_change_freq","no period or frequency: 2 / either one: 1 / both: 0","password change period (must) and frequency (can)","n/a","n/a","2","n/a","2","2","n/a"
"av3_pwd_change_policy","no policy: 0 / min characters: 1 / mixed charsets: 2","password policy enforced on password change","n/a","n/a","1","n/a","1","n/a","n/a"
"av3_reg_pripol_link","no link or information: 1 / link available: 0","link to privacy policy or any kind of information on such topic","0","n/a","1","1","1","0","1"
"number of issues","","","7.0","11.0","6.0","12.0","8.0"
"av3_data_leakage","no data leaked: 0 / complies with privacy policy: 1 / data leaked beyond privacy policy: 2","identifiable for the user or the phone that is being collected","2","0","2","1","2","1","0"
"av3_export_social","unsecure feature: 1 / secure feature: 0","export variants to social media and data encryption while exporting","n/a","0","0","n/a","0","n/a","n/a"
"av3_reg_acc_verif","none: 2 / email account verification: 1 / two factor authentication 0","email account verification or two factor authentication","2","n/a","2","2","2","2","2"
"av3_pwd_change_reuse","yes, unlimited: 0 / no, but history can be bypassed (see change freq): 1 / no without limitation: 2","can a password be reused and how much difference is required","n/a","n/a","1","n/a","2","n/a","n/a"
"av3_reg_data_validation","data not validated: 1 / data is validated: 0","Comments on data validation during user registration: weight, heitght, email...","0","n/a","0","0","0","0","1"
