"id","label","package","version","versioncode","filesize","timestamp","path_to_icon","Type","path_to_exports","path_to_internal_data","comment","id","label","package","version","versioncode","filesize","timestamp","path_to_icon","path_to_apk","comment",
196,"UP® – Smart Coach for Health","com.jawbone.upopen","4.19.0","51630",58439808,"2016-07-01 19:56:29","res/drawable-hdpi-v4/app_icon.png","/media/exthdd/apps/com.jawbone.upopen/com.jawbone.upopen.apk",\N
197,"Polar Flow - Activity & Sports","fi.polar.polarflow","3.1","31000",31116077,"2016-07-01 19:56:33","res/drawable-mdpi-v4/polar_flow_app_icon.png","/media/exthdd/apps/fi.polar.polarflow/fi.polar.polarflow.apk",\N
198,"movnow plus","com.veclink.movnow.healthy_q2","3.7.9","379",14266063,"2016-07-01 19:56:38","res/drawable-hdpi/ic_launcher.png","/media/exthdd/apps/com.veclink.movnow.healthy_q2/com.veclink.movnow.healthy_q2.apk",\N
199,"VeryFit","com.ks.wristband","1.2.5","14",1112598,"2016-07-01 19:56:42","res/drawable-hdpi-v4/ic_launcher.png","/media/exthdd/apps/com.ks.wristband/com.ks.wristband.apk",\N
200,"Health Mate","com.withings.wiscale2","2.16","2160013",40909596,"2016-07-01 19:56:48","res/drawable-mdpi-v4/ic_launcher.png","/media/exthdd/apps/com.withings.wiscale2/com.withings.wiscale2.apk",\N
201,"Activ8rlives Health & Food","com.activ8rlives.mobile","3.16.4","42",49466872,"2016-07-01 19:56:56","res/drawable/icon.png","/media/exthdd/apps/com.activ8rlives.mobile/com.activ8rlives.mobile.apk",\N
202,"MedM Weight","com.medm.medmwt.diary","2.0.26","104",17552364,"2016-07-01 19:57:05","res/drawable-mdpi-v4/icon.png","/media/exthdd/apps/com.medm.medmwt.diary/com.medm.medmwt.diary.apk",\N
203,"Thomson Healthcare","com.stabxtom.thomson","v1.1-B018","12",12075765,"2016-07-01 19:57:10","res/drawable-hdpi/ic_launcher.png","/media/exthdd/apps/com.stabxtom.thomson/com.stabxtom.thomson.apk",\N
204,"Fitbit","com.fitbit.FitbitMobile","2.28","2182996",21788021,"2016-07-01 19:57:17","res/mipmap-mdpi-v4/ic_launcher.png","/media/exthdd/apps/com.fitbit.FitbitMobile/com.fitbit.FitbitMobile.apk",\N
205,"Tinké","com.zensorium.tinke","5.1.0","10",18402240,"2016-07-01 19:57:24","res/drawable-xhdpi-v4/ic_launcher.png","/media/exthdd/apps/com.zensorium.tinke/com.zensorium.tinke.apk",\N
206,"Garmin Connect™ Mobile","com.garmin.android.apps.connectmobile","3.7.0.3","1765",47567921,"2016-07-01 19:57:31","res/drawable-mdpi-v4/icon_connect.png","/media/exthdd/apps/com.garmin.android.apps.connectmobile/com.garmin.android.apps.connectmobile.apk",\N
207,"Mio GO","com.mioglobal.android.miogo","2.6.2","81",9377649,"2016-07-01 19:57:43","res/drawable-mdpi-v4/ic_launcher.png","/media/exthdd/apps/com.mioglobal.android.miogo/com.mioglobal.android.miogo.apk",\N
208,"Microsoft Health","com.microsoft.kapp","1.3.20617.2","32",76505029,"2016-07-06 18:26:39","res/drawable-mdpi-v4/launchericon.png","/media/exthdd/apps/com.microsoft.kapp/com.microsoft.kapp.apk",\N
349,"HAPI Connect","com.hapiconnect","1.2.8_US_server","8",3261464,"2016-07-08 16:54:41","res/drawable-mdpi-v4/ic_launcher.png","/media/exthdd/apps/com.hapiconnect/com.hapiconnect.apk",\N
