"permission","com.activ8rlives.mobile","com.fitbit.FitbitMobile","com.hapiconnect","com.medm.ichoice.diary","com.medm.medmwt.diary","com.stabxtom.thomson","com.withings.wiscale2"
"android.permission.READ_SYNC_SETTINGS","-","-","-","-","-","-","-"
"android.permission.DISABLE_KEYGUARD","-","-","-","-","X","-","-"
"com.google.android.providers.gsf.permission.READ_GSERVICES","X","X","-","-","-","-","-"
"android.permission.USE_CREDENTIALS","-","-","-","-","-","-","-"
"android.permission.READ_CALENDAR","-","-","-","-","-","-","-"
"android.permission.READ_LOGS","-","-","X","-","-","-","-"
"android.permission.BODY_SENSORS","-","-","-","-","-","-","-"
"com.garmin.android.apps.connectmobile.permission.C2D_MESSAGE","-","-","-","-","-","-","-"
"android.permission.ACCESS_COARSE_LOCATION","X","-","-","-","X","-","X"
"com.jawbone.up.permission.MAPS_RECEIVE","-","-","-","-","-","-","-"
"com.microsoft.band.service.access.BIND_BAND_SERVICE","-","-","-","-","-","-","-"
"android.permission.BLUETOOTH","X","X","X","X","X","X","X"
"android.permission.ACCESS_WIFI_STATE","X","-","X","-","-","X","X"
"android.permission.INTERNET","X","X","X","X","X","X","X"
"com.microsoft.band.service.access.BIND_BAND_SERVICE_ADMIN","-","-","-","-","-","-","-"
"com.withings.wiscale2.permission.C2D_MESSAGE","-","-","-","-","-","-","X"
"activ8map.Android.permission.MAPS_RECEIVE","X","-","-","-","-","-","-"
"android.permission.BLUETOOTH_ADMIN","X","X","X","X","X","X","X"
"android.permission.NFC","-","X","-","-","X","-","-"
"android.permission.ACCESS_FINE_LOCATION","X","X","-","-","-","-","X"
"android.permission.WRITE_CALL_LOG","-","-","-","-","-","-","-"
"android.permission.INTERACT_ACROSS_USERS_FULL","-","-","-","-","-","-","-"
"android.permission.USE_FINGERPRINT","-","-","-","-","-","-","-"
"com.google.android.c2dm.permission.RECEIVE","-","X","-","-","X","-","X"
"android.permission.ACCESS_NETWORK_STATE","X","X","X","-","-","X","X"
"android.permission.BLUETOOTH_PRIVILEGED","X","-","X","-","-","-","-"
"com.garmin.android.apps.connectmobile.permission.RECEIVE_BROADCASTS","-","-","-","-","-","-","-"
"android.permission.GET_TASKS","-","-","X","-","X","X","-"
"android.permission.READ_CALL_LOG","-","-","-","-","-","-","-"
"android.permission.ACCESS_GPS","-","-","-","-","-","-","-"
"com.medm.medmwt.diary.permission.C2D_MESSAGE","-","-","-","-","X","-","-"
"com.android.vending.CHECK_LICENSE","-","-","-","-","-","-","-"
"android.permission.WRITE_EXTERNAL_STORAGE","X","X","X","X","X","X","X"
"android.permission.MEDIA_CONTENT_CONTROL","-","-","-","-","-","-","-"
"android.permission.RECEIVE_SMS","-","X","-","-","-","-","-"
"android.permission.MANAGE_ACCOUNTS","-","-","X","-","-","-","-"
"android.permission.READ_EXTERNAL_STORAGE","X","X","X","X","X","X","X"
"android.permission.RECEIVE_BOOT_COMPLETED","-","X","-","-","X","-","X"
"android.permission.DOWNLOAD_WITHOUT_NOTIFICATION","-","-","X","-","-","-","-"
"android.permission.SEND_SMS","-","-","-","-","-","-","-"
"android.permission.AUTHENTICATE_ACCOUNTS","-","-","-","-","-","-","-"
"com.fitbit.FitbitMobile.permission.C2D_MESSAGE","-","X","-","-","-","-","-"
"com.android.launcher.permission.READ_SETTINGS","-","-","-","-","-","-","-"
"android.permission.CHANGE_CONFIGURATION","-","-","-","-","-","X","-"
"android.permission.PROCESS_OUTGOING_CALLS","-","-","-","-","-","-","-"
"android.permission.BROADCAST_STICKY","-","-","-","-","-","-","-"
"android.permission.CALL_PHONE","-","-","-","-","-","-","-"
"android.permission.WRITE_SETTINGS","-","-","-","-","-","-","-"
"android.permission.FLASHLIGHT","-","-","X","-","-","X","X"
"android.permission.READ_PHONE_STATE","-","X","X","-","-","X","-"
"android.permission.MOUNT_UNMOUNT_FILESYSTEMS","-","-","X","-","-","-","-"
"com.cookies.app.permission.C2D_MESSAGE","-","-","-","-","-","-","-"
"android.permission.READ_SMS","-","-","-","-","-","-","-"
"android.permission.VIBRATE","-","-","X","-","-","X","X"
"android.permission.SYSTEM_ALERT_WINDOW","-","-","-","-","X","-","-"
"com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY","-","-","-","-","-","-","X"
"android.permission.CAMERA","-","X","X","-","-","X","X"
"android.permission.WAKE_LOCK","-","X","-","X","X","-","X"
"android.permission.ACCESS_DOWNLOAD_MANAGER","-","-","X","-","-","-","-"
"com.microsoft.kapp.permission.C2D_MESSAGE","-","-","-","-","-","-","-"
"android.permission.CHANGE_WIFI_STATE","-","-","X","-","-","X","-"
"android.permission.RECORD_AUDIO","X","-","-","-","-","-","-"
"android.permission.READ_CONTACTS","-","X","-","-","-","-","-"
"android.permission.MODIFY_AUDIO_SETTINGS","-","-","-","-","-","-","-"
"com.garmin.android.apps.connectmobile.permission.MAPS_RECEIVE","-","-","-","-","-","-","-"
"android.permission.GET_ACCOUNTS","-","X","X","-","-","-","X"
